,Provider,Product Name,State,Secured Card,Targeted Credit Tiers,APRVariableFixed,APR Credit 1,APR Credit 2,APR Credit 3,Introductory APR Offered?,Intro APR Credit 1,Intro APR Credit 2,Intro APR Credit 3,Intro APR Length,Balance Transfer APR Credit 1,Balance Transfer APR Credit 2,Balance Transfer APR Credit 3,Balance Transfer APR Length,Balance Transfer Grace Period,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Annualized Periodic Fees,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?.1,Minimum.1,Maximum.1,Fee Explanation.1,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?.2,Minimum.2,Maximum.2,Fee Explanation.2,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?.3,Minimum.3,Maximum.3,Fee Explanation.3,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?.4,Minimum.4,Maximum.4,Fee Explanation.4,Late Fee,Very Late Fee,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?.6,Minimum.6,Maximum.6,Fee Explanation.6,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name.1,Other Fee Amount.1,Other Fee Explanation.1,Other Fee Name.2,Other Fee Amount.2,Other Fee Explanation.2,Other Fee Name.3,Other Fee Amount.3,Other Fee Explanation.3,Other Fee Name.4,Other Fee Amount.4,Other Fee Explanation.4,Fee Varies?.7,Minimum.7,Maximum.7,Fee Explanation.7,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
21,"CITIBANK, N.A.",Bloomingdale's American Express Card,,No,"""123""",V,31.24,31.24,31.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment,$41.00 ,Up to $41,,,,,,,,,,,,,,,,,,,,,,,Website,https://citiretailservices.citibankonline.com/apply/bloomingdales-credit-card?app=UNSOL&siteId=PLCN_BLOOMINGDALES&langId=EN&sc=80202&cmp=A~E~V~Z~4~7~ZZZ0~CL~BL~ZZ,,3/31/2023
22,"CITIBANK, N.A.",Macy's American Express Card,,No,"""123""",V,31.24,31.24,31.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41,,,,,,,,,,,,,,,,,,,,,,,Website,https://citiretailservices.citibankonline.com/apply/macys-credit-card?app=UNSOL&siteId=PLCN_MACYS&langId=EN&sc=80002&langId=EN&sc=80002&cmp=A~W~U~Z~4~7~ZZZ0~CL~MA~ZZ#,,3/31/2023
23,"CITIBANK, N.A.",Brooks Brothers Platinum Mastercard,,No,"""123""",V,29.49,29.49,29.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://brooksbrothers.com/credit-card-apply.html,,3/31/2023
24,"CITIBANK, N.A.",Wayfair MasterCard,,No,"""123""",V,31.49,31.49,31.49,No,999.0,999.0,999.0,,31.49,31.49,31.49,2.0,Yes,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://wayfair.com/wayfaircard,,3/31/2023
25,"CITIBANK, N.A.",Shop Your Way Mastercard,,No,"""123""",V,29.74,29.74,29.74,No,999.0,999.0,999.0,,29.74,29.74,29.74,2.0,Yes,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://citiretailservices.citibankonlin.com/apply/shop-your-way-credit-card/,,3/31/2023
26,"CITIBANK, N.A.",My Best Buy Visa,,No,"""123""",V,30.74,30.74,30.74,No,999.0,999.0,999.0,,30.74,30.74,30.74,2.0,Yes,Yes,23.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Chip card,,Website,https://www.bestbuy.com/site/financing-rewards/my-best-buy-visa,,3/31/2023
27,"CITIBANK, N.A.",Meijer MasterCard,,No,"""123""",V,29.49,29.49,29.49,No,999.0,999.0,999.0,,29.49,29.49,29.49,2.0,Yes,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment,$40.00 ,Up to $40 for returned payment,,,,,,,,,,,,,,,,,,,,,,,Website,https://Citiretailservices.citibankonlin.com/RSauth/,,3/31/2023
28,"CITIBANK, N.A.",LL Bean MasterCard,,No,"""123""",V,28.49,23.49,19.49,No,999.0,999.0,999.0,,28.49,23.49,19.49,2.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$40.00 ,Up to $40 for returned payment,,,,,,,,,,,,,,,,,,,,,Chip card,,Website,https://www.llbean.com/llb/shop/514535?page=llbean-mastercard,,3/31/2023
29,"CITIBANK, N.A.",Citi Rewards Plus,,No,"""123""",V,27.99,17.99,23.99,Yes,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Other rewards,Citi ThankYou Rewards,Chip card,,Website,https://citi.com/credit-cards/,,3/31/2023
30,"CITIBANK, N.A.",Citi Premier Card,,No,"""23""",V,999.0,24.49,20.49,No,999.0,999.0,999.0,,999.0,24.49,20.49,2.0,Yes,Yes,23.0,Yes,$0.50 ,95.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Travel-related rewards; Other rewards,With the Citi Premier card you can earn ThankYou Points for purchases made on your card.,Fee-free foreign transactions,,Website,https://citi.com/credit-cards,,3/31/2023
31,"CITIBANK, N.A.",Citi DoubleCash,,No,"""23""",V,999.0,23.49,18.49,No,999.0,999.0,999.0,,999.0,0.0,0.0,9.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for a returned payment,,,,,,,,,,,,,,,,,,,Cashback rewards,,Chip card,,Website,https://citi.com/credit-cards/,,3/31/2023
32,"CITIBANK, N.A.",Citi CustomCash,,No,"""123""",V,28.49,23.49,18.49,Yes,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Cashback rewards; Other rewards,Citi ThankYou Rewards,Chip card,,Website,https://citi.com/credit-cards/,,3/31/2023
33,"CITIBANK, N.A.",Citi Simplicity Card,,No,"""123""",V,29.24,23.8,18.49,Yes,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,,,,,Website,https://citi.com/credit-cards,,3/31/2023
34,"CITIBANK, N.A.",Citi Secured MasterCard,,Yes,"""123""",V,26.99,26.99,26.99,No,999.0,999.0,999.0,,26.99,26.99,2.99,2.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,,,,,Website,https://Citi.com/credit-cards/,,3/31/2023
35,"CITIBANK, N.A.",Citi Diamond Preferred,,No,"""123""",V,28.24,22.87,17.49,Yes,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,,,,,Website,https://citi.com/credit-cards,,3/31/2023
36,"CITIBANK, N.A.",Shell Fuel Rewards Mastercard,,No,"""123""",V,30.99,30.99,30.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://citicards.citi.com/usc/rpg/landing/default.htm?lp=shellFRdual&plsrc=FS03&BT_TX=1&ProspectID=FE39F3AA08AC489A924ECE67D43C6361,,3/31/2023
38,"CITIBANK, N.A.",Citi AAdvantage Platinum Select,,No,"""123""",V,29.49,25.49,20.49,No,999.0,999.0,999.0,,29.49,25.49,20.49,2.0,Yes,Yes,23.0,Yes,$0.50 ,99.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,,,,,Website,https://citi.com/credit-cards/,,3/31/2023
39,"CITIBANK, N.A.",Citi AAdvantage Executive World Elite MasterCard,,No,"""123""",V,29.49,24.99,20.49,No,999.0,999.0,999.0,,29.49,24.99,20.49,2.0,Yes,Yes,23.0,Yes,$0.50 ,450.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Travel-related rewards,,Chip card,,Website,https://citi.com/credit-cards/,,3/31/2023
40,"CITIBANK, N.A.",Citi American Airlines AAdvantage Mileup,,No,"""123""",V,29.49,24.99,20.49,No,999.0,999.0,999.0,,29.49,24.99,20.49,2.0,Yes,Yes,23.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Travel-related rewards,,Chip card,,Website,https://citi.com/credit-cards/,,3/31/2023
